book_key,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,early_title_key,strict_title_key,lead_author,known_language,known_publication_year,reading_intent_count,main_genre,main_genre_tag_count,main_genre_cleaned_book_count,star_rating_total,star_rating_weighted_mean,star_average_gap,demand_absolute_score,exposure_gap_score,quality_score,genre_rarity_score,reader_intent_contribution,exposure_gap_contribution,genre_scarcity_contribution,quality_contribution,first_review_score
7884,7006562,7006562,7251072,16,785134530,9780785134530.0,"Marc Guggenheim, Alex Maleev, Stephen King",2008.0,Stephen King's N.,Stephen King's N.,eng,4.22,10844,11339,247,183,418,1910,3062,5766,https://images.gr-assets.com/books/1492728218m/7006562.jpg,https://images.gr-assets.com/books/1492728218s/7006562.jpg,stephen king's n.,stephen king s n,Marc Guggenheim,True,True,154,horror,183,236,11339,4.217920451538936,0.0020795484610633963,85.14370014206098,88.34007212326522,81.44465085782974,76.00808654791827,28.948858048300735,21.20161730958365,16.721779040542017,16.288930171565948,83.16118456999236
7297,163363,163363,1526762,20,809015803,9780809015800.0,Gerda Weissmann Klein,1959.0,All But My Life,All But My Life: A Memoir,en-US,4.28,13710,14111,893,268,398,1790,4332,7323,https://images.gr-assets.com/books/1316131452m/163363.jpg,https://images.gr-assets.com/books/1316131452s/163363.jpg,all but my life,all but my life,Gerda Weissmann Klein,True,True,127,memoir,187,155,14111,4.278718730068741,0.0012812699312592102,81.66867009070047,74.93170145339307,88.1870833788657,84.3295814665064,27.767347830838162,17.983608348814336,18.552507922631406,17.63741667577314,81.94088077805704
7275,13547504,13547504,19112644,30,743236718,9780743236710.0,Andrew Solomon,2012.0,"Far from the Tree: Parents, Children, and the Search for Identity","Far from the Tree: Parents, Children, and the Search for Identity",eng,4.26,11879,13240,1875,251,445,1677,4053,6814,https://images.gr-assets.com/books/1363008433m/13547504.jpg,https://images.gr-assets.com/books/1363008433s/13547504.jpg,"far from the tree: parents, children, and the search for identity",far from tree parents children and search for identity,Andrew Solomon,True,True,137,nonfiction,421,257,13240,4.263897280966767,-0.003897280966767447,82.95814665063928,83.19309365096711,86.22008523658616,73.31439186974102,28.205769861217355,19.966342476232107,16.129166211343023,17.244017047317232,81.54529559610971
8362,25852784,25852784,45720714,16,553447432,9780553447440.0,Matthew Desmond,2016.0,Evicted: Poverty and Profit in the American City,Evicted: Poverty and Profit in the American City,eng,4.48,15165,17326,3019,98,251,1329,5234,10414,https://images.gr-assets.com/books/1453060710m/25852784.jpg,https://images.gr-assets.com/books/1453060710s/25852784.jpg,evicted: poverty and profit in the american city,evicted poverty and profit in american city,Matthew Desmond,True,True,131,nonfiction,783,257,17326,4.478413944361076,0.001586055638924222,82.24784176592722,68.98699595672603,98.42640148617637,73.31439186974102,27.964266200415256,16.556879029614247,16.129166211343023,19.685280297235277,80.3355917386078
6810,25817162,25817162,45584335,9,62347268,9780062347270.0,"Stephanie Dray, Laura Kamoie",2016.0,America's First Daughter,America's First Daughter,eng,4.22,13279,19194,2413,271,561,2395,7484,8483,https://images.gr-assets.com/books/1459542134m/25817162.jpg,https://images.gr-assets.com/books/1459542134s/25817162.jpg,america's first daughter,america s first daughter,Stephanie Dray,True,True,200,historical_fiction,927,410,19194,4.216369698864228,0.003630301135771674,89.19243798491968,76.90416347940115,81.44465085782974,66.26051797617747,30.325428914872692,18.456999235056276,14.577313954759044,16.288930171565948,79.64867227625396
2958,24113,24113,850076,48,465026567,9780465026560.0,Douglas R. Hofstadter,1979.0,"Gödel, Escher, Bach: An Eternal Golden Braid","Gödel, Escher, Bach: An Eternal Golden Braid",eng,4.3,31616,33510,1383,642,1234,4068,9200,18366,https://images.gr-assets.com/books/1428732588m/24113.jpg,https://images.gr-assets.com/books/1428732588s/24113.jpg,"gödel, escher, bach: an eternal golden braid",g del escher bach eternal golden braid,Douglas R. Hofstadter,True,True,255,science,1386,86,33510,4.295553566099672,0.00444643390032784,92.05551305868211,34.18752048956398,90.19232870724511,96.11517866899793,31.29887443995192,8.205004917495355,21.145339307179544,18.038465741449023,78.68768440607585
6793,25813937,25813937,45670647,19,1476748446,9781476748440.0,Kathleen Grissom,2016.0,Glory over Everything: Beyond The Kitchen House,Glory over Everything: Beyond The Kitchen House,eng,4.24,13451,16477,2118,120,276,1988,7212,6881,https://images.gr-assets.com/books/1444246918m/25813937.jpg,https://images.gr-assets.com/books/1444246918s/25813937.jpg,glory over everything: beyond the kitchen house,glory over everything beyond kitchen house,Kathleen Grissom,True,True,127,historical_fiction,72,410,16477,4.241609516295442,-0.0016095162954421482,81.66867009070047,76.1228281062179,83.87607911703638,66.26051797617747,27.767347830838162,18.269478745492293,14.577313954759044,16.775215823407276,77.38935635449677
3953,6792458,6792458,6996712,18,1595581030,9781595581040.0,Michelle Alexander,2010.0,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,eng,4.49,23205,27002,3438,186,432,2003,7860,16521,https://images.gr-assets.com/books/1328751532m/6792458.jpg,https://images.gr-assets.com/books/1328751532s/6792458.jpg,the new jim crow: mass incarceration in the age of colorblindness,new jim crow mass incarceration in age of colorblindness,Michelle Alexander,True,True,200,nonfiction,864,257,27002,4.485001111028812,0.0049988889711878315,89.19243798491968,46.61785597202491,98.61217353294722,73.31439186974102,30.325428914872692,11.188285433285978,16.129166211343023,19.722434706589446,77.36531526609113
9993,4936457,4936457,5002120,27,224079948,9780224079940.0,Ian Mortimer,2008.0,The Time-Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,The Time Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,eng,3.99,9824,12115,970,236,521,2497,4790,4071,https://images.gr-assets.com/books/1328167619m/4936457.jpg,https://images.gr-assets.com/books/1328167619s/4936457.jpg,the time-traveller's guide to medieval england: a handbook for visitors to the fourteenth century,time traveller s guide to medieval england handbook for visitors to fourteenth century,Ian Mortimer,True,True,133,history,1320,194,12115,3.9854725546842755,0.0045274453157246874,82.48825264998361,92.86416785050814,46.32280625068299,80.49939897278986,28.04600590099443,22.28740028412195,17.70986777401377,9.264561250136598,77.30783520926674
6425,77449,77449,74826,15,345382846,9780345382850.0,Sharon Kay Penman,1985.0,Here be Dragons,"Here be Dragons (Welsh Princes, #1)",eng,4.3,16205,17444,1146,205,422,2190,5732,8895,https://images.gr-assets.com/books/1448657042m/77449.jpg,https://images.gr-assets.com/books/1448657042s/77449.jpg,here be dragons,here be dragons,Sharon Kay Penman,True,True,149,historical_fiction,1403,410,17444,4.30073377665673,-0.0007337766567303561,84.59731176920555,65.45186318435144,90.19232870724511,66.26051797617747,28.76308600152989,15.708447164244344,14.577313954759044,18.038465741449023,77.0873128619823
1851,7170627,7170627,7580942,58,1439107955,9781439107960.0,Siddhartha Mukherjee,2010.0,The Emperor of All Maladies: A Biography of Cancer,The Emperor of All Maladies: A Biography of Cancer,eng,4.29,48117,53649,4907,749,1435,6492,18009,26964,https://images.gr-assets.com/books/1280771091m/7170627.jpg,https://images.gr-assets.com/books/1280771091s/7170627.jpg,the emperor of all maladies: a biography of cancer,emperor of all maladies biography of cancer,Siddhartha Mukherjee,True,True,447,science,1624,86,53649,4.286212231355663,0.0037877686443366088,96.54136159982517,21.844607146759916,89.24707682220522,96.11517866899793,32.82406294394056,5.24270571522238,21.145339307179544,17.849415364441043,77.06152333078353
5101,11472,11472,888905,33,312243359,9780312243360.0,Philip Gourevitch,1998.0,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,en-US,4.3,18716,19546,1331,205,420,2329,6920,9672,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,we wish to inform you that tomorrow we will be killed with our families,we wish to inform you that tomorrow we will be killed with our families,Philip Gourevitch,True,True,145,nonfiction,412,257,19546,4.301238104983117,-0.0012381049831171609,84.10009834990711,57.09212107966343,90.19232870724511,73.31439186974102,28.59403343896842,13.702109059119222,16.129166211343023,18.038465741449023,76.4637744508797
5640,23317538,23317538,42872911,27,812995821,9780812995820.0,Brené Brown,2015.0,Rising Strong,Rising Strong,en-GB,4.19,22022,23919,1910,506,922,3320,8037,11134,https://images.gr-assets.com/books/1428641002m/23317538.jpg,https://images.gr-assets.com/books/1428641002s/23317538.jpg,rising strong,rising strong,Brené Brown,True,True,154,self_help,359,102,23919,4.18612818261633,0.003871817383670262,85.14370014206098,49.12031471970276,77.4232324336138,91.38345536006995,28.948858048300735,11.788875532728662,20.104360179215387,15.484646486722761,76.32674024696755
6547,48834,48834,194624,16,689823959,9780689823950.0,Livia E. Bitton-Jackson,1997.0,I Have Lived A Thousand Years: Growing Up In The Holocaust,I Have Lived a Thousand Years,eng,4.17,15987,16411,757,295,481,2684,5709,7242,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,i have lived a thousand years: growing up in the holocaust,i have lived thousand years growing up in holocaust,Livia E. Bitton-Jackson,True,True,127,history,186,194,16411,4.165194077143379,0.004805922856620626,81.66867009070047,66.1129931155065,74.53830182493716,80.49939897278986,27.767347830838162,15.86711834772156,17.70986777401377,14.907660364987434,76.25199431756093
6659,26200563,26200563,46177490,12,1455539740,9781455539740.0,"Lin-Manuel Miranda, Jeremy McCarter",2016.0,Hamilton: The Revolution,Hamilton: The Revolution,eng,4.47,24800,25565,3339,693,530,1834,5496,17012,https://images.gr-assets.com/books/1451400644m/26200563.jpg,https://images.gr-assets.com/books/1451400644s/26200563.jpg,hamilton: the revolution,hamilton revolution,Lin-Manuel Miranda,True,True,181,nonfiction,681,257,25565,4.470917269704675,-0.0009172697046748723,87.89749754125232,43.558081084034534,98.20784613703421,73.31439186974102,29.88514916402579,10.453939460168288,16.129166211343023,19.641569227406844,76.10982406294394
2459,129650,129650,2897158,19,375413405,9780375413410.0,"Julia Child, Simone Beck, Louisette Bertholle",1961.0,Mastering the Art of French Cooking,Mastering the Art of French Cooking,en-US,4.33,34055,35315,434,631,902,4422,9757,19603,https://images.gr-assets.com/books/1333577773m/129650.jpg,https://images.gr-assets.com/books/1333577773s/129650.jpg,mastering the art of french cooking,mastering art of french cooking,Julia Child,True,True,136,cookbooks,190,47,35315,4.325187597338242,0.004812402661758419,82.81062178996831,31.51568134630095,92.50355152442356,97.98929078789203,28.155611408589227,7.563763523112228,21.557643973336248,18.500710304884713,75.77772920992241
2831,8171378,8171378,13341052,26,679444327,9780679444330.0,Isabel Wilkerson,2010.0,The Warmth of Other Suns: The Epic Story of America's Great Migration ,The Warmth of Other Suns: The Epic Story of America's Great Migration,eng,4.31,31308,34610,4594,502,1069,3883,10772,18384,https://images.gr-assets.com/books/1433354252m/8171378.jpg,https://images.gr-assets.com/books/1433354252s/8171378.jpg,the warmth of other suns: the epic story of america's great migration,warmth of other suns epic story of america s great migration,Isabel Wilkerson,True,True,269,history,573,194,34610,4.313695463738804,-0.00369546373880425,92.56911812916621,34.45525079226314,90.9572724292427,80.49939897278986,31.473500163916516,8.269260190143154,17.70986777401377,18.191454485848542,75.64408261392198
1909,875441,23316548,860779,62,393065782,9780393065790.0,Lawrence Hill,2007.0,The Book of Negroes,Someone Knows My Name,eng,4.44,22146,55294,5303,326,746,4525,18174,31523,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,the book of negroes,book of negroes,Lawrence Hill,True,True,172,historical_fiction,217,410,55294,4.4435924331753895,-0.0035924331753891536,87.0396677958693,48.86351218446072,97.48114960113648,66.26051797617747,29.593487050595567,11.727242924270572,14.577313954759044,19.496229920227297,75.39427384985248
7049,25733983,25733983,45572105,27,1101874937,9781101874940.0,Hope Jahren,2016.0,Lab Girl,Lab Girl,eng,4.04,16594,19798,3321,425,900,3506,7585,7382,https://images.gr-assets.com/books/1441826687m/25733983.jpg,https://images.gr-assets.com/books/1441826687s/25733983.jpg,lab girl,lab girl,Hope Jahren,True,True,134,science,601,86,19798,4.040458632185069,-0.000458632185068808,82.61392197574035,63.82908971697082,53.513277237460386,96.11517866899793,28.088733471751723,15.318981532072996,21.145339307179544,10.702655447492077,75.25570975849634
2579,178357,178357,459137,8,349119759,9780349119760.0,David Sedaris,1998.0,SantaLand Diaries,SantaLand Diaries,en-US,4.33,38297,38509,393,284,797,4876,12574,19978,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,santaland diaries,santaland diaries,David Sedaris,True,True,157,humor,381,89,38509,4.328650445350438,0.0013495546495621014,85.54256365424544,27.920445852912252,92.50355152442356,95.15899901650093,29.084471642443454,6.70090700469894,20.934979783630205,18.500710304884713,75.22106873565731
3488,40929,40929,40514,24,375756787,9780375756790.0,Edmund Morris,1979.0,The Rise of Theodore Roosevelt ,The Rise of Theodore Roosevelt,eng,4.25,26920,28423,1339,726,866,3377,9063,14391,https://images.gr-assets.com/books/1452010007m/40929.jpg,https://images.gr-assets.com/books/1452010007s/40929.jpg,the rise of theodore roosevelt,rise of theodore roosevelt,Edmund Morris,True,True,150,biography,1134,118,28423,4.249938430144601,6.156985539895743e-05,84.69566167631952,40.061195497759805,85.07266965358977,88.45481368156486,28.79652496994864,9.614686919462352,19.46005900994427,17.014533930717956,74.88580483007323
